,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
3759,693412.5,SFH,60091,2303,8,3,0,Yes,4.0,0,2.0,19A
7512,770287.4999999999,SFH,60091,2204,8,3,0,Yes,3.0,0,2.0,19A
3365,381229.3770996093,Condo,60077,2129,6,2,0,No,3.0,0,1.0,20A
428,673937.4999999999,SFH,60026,3291,9,2,1,No,4.0,0,2.1,19A
230,378225.0,SFH,60025,1360,7,2,0,No,4.0,0,2.0,19A
2000,325624.8027343749,SFH,60077,1169,8,2,0,Yes,3.0,0,2.0,19A
9176,183071.40624999997,Townhouse,60077,2110,6,1,1,No,3.0,0,0.0,19A
295,343374.99999999994,SFH,60002,1100,5,1,0,No,2.0,0,2.0,19A
7346,343374.99999999994,SFH,60062,2098,7,2,1,No,3.0,0,2.0,19A
3448,1159003.5351562495,SFH,60062,3434,14,4,1,Yes,4.0,1,3.0,20A
8825,822114.0624999999,SFH,60203,2993,11,2,1,No,5.0,0,2.0,19A
3640,347474.99999999994,SFH,60025,2025,7,2,0,Yes,3.0,0,2.5,19A
5757,419987.3437499999,SFH,60076,2002,8,1,1,No,3.0,0,3.0,19A
8836,958375.0,SFH,60201,3231,12,4,0,No,6.0,0,2.0,Pre1900
8557,474062.5,SFH,60062,2633,11,2,1,No,4.0,1,2.0,19A
4835,956068.75,SFH,60026,2709,4,2,1,No,3.0,0,2.0,recent
1137,153391.25,Condo,60077,1008,5,1,1,No,2.0,0,0.0,19A
1445,549698.8195312498,SFH,60076,2740,8,2,1,Yes,4.0,0,4.0,19A
5506,2565691.914062499,SFH,60062,10330,17,7,5,Yes,6.0,1,6.0,20A
6742,367718.75,SFH,60203,1900,6,1,1,No,3.0,0,2.1,19A
5561,132225.0,SFH,60002,1108,7,1,0,No,3.0,0,0.0,19A
5972,616025.0,SFH,60025,2254,9,2,1,No,4.0,0,2.5,19A
5002,222732.5,Condo,60077,1198,5,1,0,No,2.0,0,1.0,20A
3161,391883.125,SFH,60076,2754,8,3,1,Yes,3.0,0,0.0,20A
6638,399237.5,SFH,60076,1456,8,2,1,Yes,3.0,0,2.0,19A
6817,871249.9999999999,SFH,60062,3109,10,2,1,No,4.0,0,3.0,19A
9056,138375.0,Condo,60062,1100,5,1,0,No,2.0,0,0.0,19A
2434,420250.0,SFH,60062,2400,7,2,0,No,2.0,0,2.0,19A
7987,217300.0,Townhouse,60076,980,6,1,1,No,2.0,0,0.0,19A
3355,546219.9375,SFH,60025,3045,8,2,1,No,4.0,0,3.0,19A
7787,682906.25,SFH,60026,2814,11,2,1,No,4.0,0,2.0,19A
159,924550.0,SFH,60062,4461,12,4,1,Yes,5.0,1,3.0,19A
3016,391988.1874999999,SFH,60076,1258,9,2,1,Yes,3.0,0,2.0,19A
3059,556752.4531249998,SFH,60062,2586,10,3,0,No,5.0,0,2.0,19B
648,110700.0,Condo,60025,650,4,1,0,No,1.0,0,1.0,19A
7064,204871.875,Townhouse,60076,1225,6,1,1,No,3.0,0,0.0,19A
6911,189112.5,Condo,60077,1900,6,2,0,No,3.0,0,0.0,19A
7086,394625.0,Townhouse,60062,1800,7,2,1,No,2.0,0,2.0,19A
7056,53581.87499999999,SFH,60002,1840,7,2,0,Yes,3.0,0,0.0,19A
9283,656640.625,SFH,60062,2499,10,3,1,Yes,4.0,0,2.0,19A
3454,375073.125,Townhouse,60026,1526,7,2,0,No,3.0,0,2.0,19A
1455,609875.0,SFH,60053,3846,12,5,0,Yes,5.0,1,2.0,20A
8753,827859.6679687497,SFH,60062,2936,11,2,1,No,5.0,0,2.0,19A
1736,231137.5,Condo,60202,1100,5,1,0,No,2.0,0,1.0,19B
1216,396675.0,Townhouse,60053,2089,8,2,1,No,4.0,0,2.0,19A
6702,561840.7613281248,SFH,60076,2534,9,3,0,No,4.0,0,2.5,19A
6534,353624.99999999994,SFH,60002,2450,11,3,1,Yes,4.0,0,3.0,20A
7362,316725.0,SFH,60002,3100,7,2,1,No,3.0,0,2.5,19A
5341,514806.25,Condo,60062,2500,6,2,1,No,3.0,0,2.0,20A
2139,294175.0,Condo,60062,2350,6,2,1,No,2.0,0,1.0,19A
8831,471500.0,SFH,60025,2259,9,3,1,Yes,4.0,0,2.0,19A
4144,256250.0,Condo,60202,1200,5,2,0,No,2.0,0,1.0,19B
6654,496993.79999999993,SFH,60025,1520,9,2,1,Yes,3.0,0,2.0,19A
1864,328000.0,SFH,60077,1422,8,1,1,No,3.0,0,2.0,19A
7025,617242.1875,SFH,60076,3323,10,2,2,No,4.0,0,2.5,19A
5553,589375.0,SFH,60202,3296,11,3,0,Yes,4.0,1,2.0,19B
3796,157593.75,Condo,60077,1000,5,2,0,No,2.0,0,0.0,19A
214,307500.0,SFH,60053,1092,7,2,0,Yes,3.0,0,1.0,19A
9140,791985.7490234372,SFH,60062,3367,11,3,1,No,5.0,0,3.0,19A
6094,122923.125,Condo,60025,950,5,1,0,No,2.0,0,0.0,19A
1882,472781.25,SFH,60062,1936,8,2,1,No,4.0,0,2.0,19A
6093,371050.0,SFH,60077,1260,11,2,0,Yes,3.0,2,1.5,19A
7108,509553.125,SFH,60091,2490,9,3,1,Yes,4.0,0,2.0,19A
8762,868700.7449218746,SFH,60062,3451,11,3,1,Yes,4.0,0,3.0,19A
7320,541071.875,SFH,60062,2800,10,2,1,No,4.0,0,2.5,19A
5282,301529.3749999999,SFH,60076,1288,9,3,0,Yes,3.0,2,2.0,19A
7465,476625.0,SFH,60091,2620,8,2,1,No,3.0,1,1.0,19A
1532,328000.0,Townhouse,60025,2040,7,2,1,No,3.0,0,1.5,19A
4481,393065.0781249999,SFH,60077,1754,9,2,1,Yes,4.0,0,1.0,19A
8556,323067.1874999999,Condo,60077,1269,5,2,0,No,2.0,0,2.0,20A
1654,754348.75,Townhouse,60202,4032,10,3,1,No,4.0,0,2.0,20A
5030,535818.75,SFH,60062,1983,10,2,0,No,3.0,1,2.0,19A
3865,299300.0,Townhouse,60053,1650,6,2,1,No,2.0,0,2.0,20A
2124,889446.5175,SFH,60091,2640,11,2,1,No,4.0,0,2.0,19B
6758,401864.0625,SFH,60053,1502,7,2,0,Yes,3.0,0,1.0,19A
5786,347701.0605468749,SFH,60076,1620,6,1,0,No,3.0,0,0.0,19A
7578,239542.5,Condo,60202,1700,6,2,0,No,3.0,0,1.0,19B
